"doi","all_links"
"10.3389/feduc.2025.1697717",""
"10.3389/feduc.2025.1465227",""
"10.3389/feduc.2025.1581703",""
"",""
"10.3389/feduc.2025.1659412",""
"",""
"10.3389/feduc.2025.1634375",""
"10.3389/feduc.2025.1670872",""
"10.3389/feduc.2025.1632525",""
"10.3389/feduc.2025.1541115",""
"10.3389/feduc.2025.1652075",""
"10.3389/feduc.2025.1680374",""
"10.3389/feduc.2025.1665004",""
"10.3389/feduc.2025.1661624",""
"10.3389/feduc.2025.1673113",""
"10.3389/feduc.2025.1662663",""
"10.3389/feduc.2025.1614353",""
"",""
"10.3389/feduc.2025.1594377",""
"10.3389/feduc.2025.1649324",""
"",""
"10.3389/feduc.2025.1633040",""
"",""
"10.3389/feduc.2025.1599407",""
"",""
"",""
"10.3389/feduc.2025.1656387",""
"10.3389/feduc.2025.1658971",""
"10.3389/feduc.2025.1490875",""
"10.3389/feduc.2025.1670277",""
"10.3389/feduc.2025.1654562",""
"10.3389/feduc.2025.1649747",""
"10.3389/feduc.2025.1659267",""
"10.3389/feduc.2025.1613780",""
"10.3389/feduc.2025.1697554",""
"10.3389/feduc.2025.1536470",""
"10.3389/feduc.2025.1645073",""
"10.3389/feduc.2025.1640339",""
"",""
"10.3389/feduc.2025.1633056",""
"10.3389/feduc.2025.1652510",""
"10.3389/feduc.2025.1649650",""
"10.3389/feduc.2025.1629540",""
"10.3389/feduc.2025.1677229","https://osf.io/qsej4/? view_only=8d55a48405984ad5a1f7cdfd6f3fd85f; https://osf.io/v6nx3/? view_only=014304e91aef490b810d87184065e9c3; https://osf.io/qsej4"
"10.3389/feduc.2025.1628412",""
"10.3389/feduc.2025.1620642",""
"10.3389/feduc.2025.1665829",""
"10.3389/feduc.2025.1654090",""
"10.3389/feduc.2025.1684188",""
"10.3389/feduc.2025.1647597",""
"10.3389/feduc.2025.1611169",""
"10.3389/feduc.2025.1654082",""
"10.3389/feduc.2025.1683176","https://github.com/sekiro23268/student-s-acceptance-of-artificial-intelligence-ebooks"
"10.3389/feduc.2025.1622527",""
"10.3389/feduc.2025.1634668",""
"10.3389/feduc.2025.1521819",""
"10.3389/feduc.2025.1681017",""
"10.3389/feduc.2025.1635619",""
"10.3389/feduc.2025.1689273",""
"10.3389/feduc.2025.1657401",""
"",""
"10.3389/feduc.2025.1592037",""
"10.3389/feduc.2025.1588036",""
"10.3389/feduc.2025.1653320",""
"10.3389/feduc.2025.1677827",""
"",""
"10.3389/feduc.2025.1680937",""
"10.3389/feduc.2025.1673956","https://github.com/wxmwer/avrd"
"10.3389/feduc.2025.1660329",""
"10.3389/feduc.2025.1574844",""
"10.3389/feduc.2025.1688092",""
"10.3389/feduc.2025.1620133",""
"10.3389/feduc.2025.1531156",""
"10.3389/feduc.2025.1636016",""
"10.3389/feduc.2025.1667906",""
"10.3389/feduc.2025.1685825",""
"10.3389/feduc.2025.1571030",""
"10.3389/feduc.2025.1501796",""
"",""
"10.3389/feduc.2025.1674141",""
"10.3389/feduc.2025.1622620",""
"",""
"","https://osf.io/7xkhv"
"10.3389/feduc.2025.1655941",""
"10.3389/feduc.2025.1662644",""
"10.3389/feduc.2025.1392678",""
"10.3389/feduc.2025.1544488",""
"10.3389/feduc.2025.1670892",""
"10.3389/feduc.2025.1595274",""
"10.3389/feduc.2025.1660133",""
"10.3389/feduc.2025.1656924",""
"",""
"10.3389/feduc.2025.1581676",""
"10.3389/feduc.2025.1659717",""
"10.55612/s-5002-045-014",""
"10.3389/feduc.2025.1669360","https://osf.io/ywrtb"
"10.3389/feduc.2025.1591073",""
"10.3389/feduc.2025.1662099",""
"10.3389/feduc.2025.1596743",""
"10.3389/feduc.2025.1621207",""
"10.3389/feduc.2025.1628004",""
"10.3389/feduc.2025.1682874",""
"10.3389/feduc.2025.1677350",""
"10.3389/feduc.2025.1625133","https://osf.io/eczxn/? view_only=2abaed19e3ed4d40a0ca4a8001a32512; https://osf.io/eczxn/? view_only=1baf125d5bc44e2fa065a8bd6022621e"
"10.3389/feduc.2025.1648016",""
"10.3389/feduc.2025.1655967",""
"10.3389/feduc.2025.1651484",""
"",""
"",""
"10.3389/feduc.2025.1588966",""
"10.3389/feduc.2025.1672901",""
"",""
"10.3389/feduc.2025.1675580",""
"10.3389/feduc.2025.1501558",""
"10.3389/feduc.2025.1629153",""
"10.3389/feduc.2025.1656734",""
"10.3389/feduc.2025.1649013",""
"10.3389/feduc.2025.1647206",""
"10.3389/feduc.2025.1562586",""
"10.3389/feduc.2025.1652292",""
"",""
"10.3389/feduc.2025.1574267",""
"10.3389/feduc.2025.1608850",""
"10.3389/feduc.2025.1670170",""
"10.3389/feduc.2025.1645115",""
"10.3389/feduc.2025.1647573",""
"10.3389/feduc.2025.1670084",""
"10.3389/feduc.2025.1665205",""
"10.3389/feduc.2025.1657529",""
"10.3389/feduc.2025.1548014",""
"",""
"10.3389/feduc.2025.1651453",""
"",""
"",""
"10.3389/feduc.2025.1625105",""
"10.3389/feduc.2025.1628034",""
"10.3389/feduc.2025.1631264",""
"10.3389/feduc.2025.1658341",""
"10.3389/feduc.2025.1658650",""
"10.3389/feduc.2025.1658415","https://osf.io/qdh43"
"10.3389/feduc.2025.1645119",""
"10.3389/feduc.2025.1659256",""
"10.3389/feduc.2025.1538486",""
"10.3389/feduc.2025.1636887","https://osf.io/uhe9s"
"",""
"10.3389/feduc.2025.1626007",""
"10.3389/feduc.2025.1641638",""
"",""
"",""
"10.3389/feduc.2025.1656518",""
"10.3389/feduc.2025.1616935",""
"",""
"10.3389/feduc.2025.1614737",""
"",""
"10.3389/feduc.2025.1663155",""
"10.3389/feduc.2025.1653953",""
"10.3389/feduc.2025.1579358",""
"10.3389/feduc.2025.1615031",""
"10.3389/feduc.2025.1662330",""
"10.3389/feduc.2025.1644811",""
"10.3389/feduc.2025.1598909",""
"10.3389/feduc.2025.1621151",""
"",""
"10.3389/feduc.2025.1638410",""
